epoch,loss,mae
0,24999.67844281329,137.74657
1,24903.07366282273,137.40007
2,24808.604750472292,137.05772
3,24716.943137988037,136.71483
4,24623.71901566436,136.37712
5,24532.615928054158,136.04553
6,24443.67623878306,135.71327
7,24355.196072595245,135.3832
8,24266.7259426165,135.06126
9,24180.95809882714,134.74161
